mjd,filter,mag,magerr,sn
58730.28218,gp,18.42065401,0.012139055,89.99264949
58730.28473,rp,18.44583489,0.015544812,69.94783757
58731.42057,gp,18.45732083,0.01154884,94.63736438
58731.42312,rp,18.47247164,0.013844069,78.54464676
58732.34876,gp,18.40181059,0.022846232,47.6216608
58732.35131,rp,18.45316124,0.02907185,37.39335083
58733.37547,gp,18.43476316,0.011022575,99.16547591
58733.37803,rp,18.44882467,0.013071592,83.1948053
58734.26762,gp,18.4458244,0.021378642,50.92355077
58734.27017,rp,18.46725616,0.021070236,51.59688109
58737.27031,gp,18.4522709,0.031283296,34.7765165
58737.27287,rp,18.41118402,0.03016824,36.03304893
